# Time breakdown of profile

     processing_lat queueing_lat  total_lat
mean    180 (50.4%)  163 (45.7%)        357
std      35 (10.5%)  328 (98.8%)        332
p50     176 (55.5%)  112 (35.3%)        317
p90     224 (43.3%)  316 (61.1%)        517
p95     236 (39.3%)  398 (66.3%)        600
p99     278 (33.7%)  619 (75.0%)        825
