service,caller,callee,weight
S_36816397,MS_43524,MS_32574,7493.0
S_36816397,MS_43524,MS_12253,504.0
S_36816397,MS_43524,MS_51564,102.0
S_36816397,MS_43524,MS_12118,73.0
S_36816397,MS_43524,MS_53092,13.0
S_36816397,USER,MS_43524,7493.0
S_36816397,USER,MS_70930,87187.0
S_36816397,USER,MS_5449,28883.0
S_36816397,USER,MS_12847,92.0
S_36816397,USER,MS_24936,9.0
S_36816397,USER,MS_15763,62.0
S_36816397,USER,MS_521,4.0
S_36816397,USER,MS_37518,8.0
S_36816397,USER,MS_21562,4.0
S_36816397,USER,MS_9264,3.0
S_36816397,USER,MS_15661,3.0
S_36816397,USER,MS_40781,2.0
S_36816397,USER,MS_19177,2.0
S_36816397,USER,MS_63780,1.0
S_36816397,USER,MS_7424,6.0
S_36816397,USER,MS_46095,4.0
S_36816397,MS_70930,MS_7024,87689.0
S_36816397,MS_70930,MS_39556,7044.0
S_36816397,MS_70930,MS_25648,8615.0
S_36816397,MS_5449,MS_39556,644863.0
S_36816397,MS_5449,MS_49817,2009.0
S_36816397,MS_5449,MS_7024,31074.0
S_36816397,MS_5449,MS_25648,353724.0
S_36816397,MS_5449,MS_43881,716.0
S_36816397,MS_5449,MS_64715,16.0
S_36816397,MS_5449,MS_69109,4.0
S_36816397,MS_49817,MS_25648,1267.0
S_36816397,MS_49817,MS_58269,24.0
S_36816397,MS_49817,MS_19104,2.0
S_36816397,MS_43881,MS_25648,1049.0
S_36816397,MS_12118,MS_11639,60.0
S_36816397,MS_12847,MS_7024,92.0
S_36816397,MS_12847,MS_39556,491.0
S_36816397,MS_24936,MS_36201,18.0
S_36816397,MS_24936,MS_2827,10.0
S_36816397,MS_24936,MS_4354,4.0
S_36816397,MS_24936,MS_44585,4.0
S_36816397,MS_24936,MS_7024,6.0
S_36816397,MS_24936,MS_21883,2.0
S_36816397,MS_15763,MS_25648,3550.0
S_36816397,MS_15763,MS_7024,66.0
S_36816397,MS_15763,MS_39556,4675.0
S_36816397,MS_521,MS_9287,6.0
S_36816397,MS_521,MS_27421,6.0
S_36816397,MS_37518,MS_68453,16.0
S_36816397,MS_21562,MS_2827,2.0
S_36816397,MS_21562,MS_4354,2.0
S_36816397,MS_9264,MS_27421,4.0
S_36816397,MS_9264,MS_9287,4.0
S_36816397,MS_9264,MS_52056,2.0
S_36816397,MS_69109,MS_25648,2.0
S_36816397,MS_15661,MS_68453,6.0
S_36816397,MS_40781,MS_68453,4.0
S_36816397,MS_19177,MS_68453,3.0
S_36816397,MS_63780,MS_68453,2.0
S_36816397,MS_7424,MS_68453,12.0
S_36816397,MS_46095,MS_27421,2.0
S_36816397,MS_46095,MS_11603,2.0
S_36816397,MS_52056,MS_27421,1.0
S_36816397,MS_52056,MS_48548,1.0
