service,caller,callee,weight
S_5991695,USER,MS_19279,476.0
S_5991695,USER,MS_43781,1360.0
S_5991695,USER,MS_72610,19.0
S_5991695,USER,MS_7798,7.0
S_5991695,USER,MS_25771,3.0
S_5991695,MS_19279,MS_19585,912.0
S_5991695,MS_19279,MS_22012,912.0
S_5991695,MS_19279,MS_60142,436.0
S_5991695,MS_19585,MS_19585,19.0
S_5991695,MS_22012,MS_22012,18.0
S_5991695,MS_60142,MS_15131,820.0
S_5991695,MS_43781,MS_19585,1954.0
S_5991695,MS_43781,MS_22012,1955.0
S_5991695,MS_43781,MS_60142,594.0
S_5991695,MS_15131,MS_19585,223.0
S_5991695,MS_15131,MS_62847,307.0
S_5991695,MS_15131,MS_42151,1.0
S_5991695,MS_15131,MS_57724,1.0
S_5991695,MS_15131,MS_48401,2.0
S_5991695,MS_62847,MS_22012,628.0
S_5991695,MS_72610,MS_42150,35.0
S_5991695,MS_72610,MS_37536,35.0
S_5991695,MS_72610,MS_60142,16.0
S_5991695,MS_7798,MS_19585,10.0
S_5991695,MS_7798,MS_22012,10.0
S_5991695,MS_7798,MS_60142,3.0
S_5991695,MS_57724,MS_684,1.0
S_5991695,MS_57724,MS_19585,6.0
S_5991695,MS_48401,MS_61076,6.0
S_5991695,MS_48401,MS_27421,4.0
S_5991695,MS_48401,MS_56114,4.0
S_5991695,MS_61076,MS_19585,3.0
S_5991695,MS_61076,MS_27421,1.0
S_5991695,MS_61076,MS_61635,1.0
S_5991695,MS_25771,MS_19585,6.0
S_5991695,MS_25771,MS_22012,6.0
S_5991695,MS_25771,MS_11351,3.0
