service,caller,callee
S_78126003,MS_58631,MS_17447
S_78126003,MS_58631,MS_50696
S_78126003,MS_58631,MS_61650
S_78126003,MS_58631,MS_51852
S_78126003,MS_58631,MS_11607
S_78126003,MS_58631,MS_28467
S_78126003,MS_58631,MS_27239
S_78126003,MS_58631,MS_1556
S_78126003,MS_58631,MS_55290
S_78126003,MS_58631,MS_55085
S_78126003,MS_37327,MS_45285
S_78126003,MS_68385,MS_6991
S_78126003,MS_68385,MS_27421
S_78126003,MS_16144,MS_37691
S_78126003,MS_27300,MS_5507
S_78126003,MS_27300,MS_27421
S_78126003,MS_40770,MS_27421
S_78126003,MS_40770,MS_21528
S_78126003,MS_40770,MS_46708
S_78126003,MS_40770,MS_42253
S_78126003,MS_40770,MS_46825
S_78126003,MS_40770,MS_37691
S_78126003,MS_28190,MS_35973
S_78126003,MS_28190,MS_32139
S_78126003,MS_28190,MS_67564
S_78126003,MS_28190,MS_55085
S_78126003,MS_28190,MS_46825
S_78126003,MS_28190,MS_2827
S_78126003,MS_28190,MS_68068
S_78126003,MS_28190,MS_28190
S_78126003,MS_28190,MS_50696
S_78126003,MS_28190,MS_72189
S_78126003,MS_28190,MS_16726
S_78126003,MS_28190,MS_41516
S_78126003,MS_28190,MS_58423
S_78126003,MS_28190,MS_58845
S_78126003,MS_28190,MS_27421
S_78126003,MS_28190,MS_19064
S_78126003,MS_28190,MS_11363
S_78126003,MS_28190,MS_57945
S_78126003,MS_28190,MS_36144
S_78126003,MS_28190,MS_42253
S_78126003,MS_28190,MS_37711
S_78126003,MS_28190,MS_24671
S_78126003,MS_28190,MS_66332
S_78126003,MS_28190,MS_10916
S_78126003,MS_28190,MS_29635
S_78126003,MS_28190,MS_48518
S_78126003,MS_28190,MS_18369
S_78126003,MS_28190,MS_16477
S_78126003,MS_28190,MS_22845
S_78126003,MS_45296,MS_42253
S_78126003,MS_45296,MS_55085
S_78126003,MS_45296,MS_42255
S_78126003,MS_45296,MS_46825
S_78126003,MS_45296,MS_17280
S_78126003,MS_45296,MS_27421
S_78126003,MS_45296,MS_19854
S_78126003,MS_45296,MS_16477
S_78126003,MS_45296,MS_51052
S_78126003,MS_45296,MS_27239
S_78126003,MS_45296,MS_15171
S_78126003,MS_45296,MS_55290
S_78126003,MS_48549,MS_55085
S_78126003,MS_48549,MS_46825
S_78126003,MS_48549,MS_35973
S_78126003,MS_48549,MS_21883
S_78126003,MS_48549,MS_26610
S_78126003,MS_53454,MS_21883
S_78126003,MS_53454,MS_37691
S_78126003,MS_53454,MS_3824
S_78126003,MS_1800,MS_44845
S_78126003,MS_1800,MS_46825
S_78126003,MS_1800,MS_60885
S_78126003,MS_1800,MS_2827
S_78126003,MS_1800,MS_55085
S_78126003,MS_1800,MS_2192
S_78126003,MS_1800,MS_11363
S_78126003,MS_1800,MS_1800
S_78126003,MS_1800,MS_5449
S_78126003,MS_1800,MS_654
S_78126003,MS_1800,MS_60125
S_78126003,MS_1800,MS_5867
S_78126003,MS_1800,MS_14728
S_78126003,MS_1800,MS_14304
S_78126003,MS_1800,MS_29635
S_78126003,MS_1800,MS_1556
S_78126003,MS_1800,MS_27239
S_78126003,MS_1800,MS_41516
S_78126003,MS_1800,MS_46708
S_78126003,MS_1800,MS_3147
S_78126003,MS_1800,MS_35973
S_78126003,MS_1800,MS_16099
S_78126003,MS_1800,MS_22845
S_78126003,MS_1800,MS_46378
S_78126003,MS_1800,MS_72215
S_78126003,MS_1800,MS_21733
S_78126003,MS_1800,MS_42255
S_78126003,MS_1800,MS_7766
S_78126003,MS_1800,MS_60563
S_78126003,MS_30089,MS_72494
S_78126003,MS_30089,MS_23890
S_78126003,MS_30089,MS_27421
S_78126003,MS_30089,MS_18306
S_78126003,MS_30089,MS_67220
S_78126003,MS_30089,MS_18829
S_78126003,MS_33293,MS_29635
S_78126003,MS_33293,MS_33293
S_78126003,MS_33293,MS_35973
S_78126003,MS_33293,MS_16099
S_78126003,MS_33293,MS_21883
S_78126003,MS_61521,MS_2827
S_78126003,MS_61521,MS_61521
S_78126003,MS_61521,MS_23731
S_78126003,MS_61521,MS_19854
S_78126003,MS_61521,MS_58212
S_78126003,MS_61521,MS_4354
S_78126003,MS_61521,MS_1278
S_78126003,MS_61521,MS_44136
S_78126003,MS_61521,MS_5449
S_78126003,MS_61521,MS_56376
S_78126003,MS_61521,MS_33293
S_78126003,MS_61521,MS_71181
S_78126003,MS_61521,MS_67595
S_78126003,MS_61521,MS_27239
S_78126003,MS_61521,MS_34814
S_78126003,MS_21733,MS_4014
S_78126003,MS_21733,MS_46378
S_78126003,MS_21733,MS_29635
S_78126003,MS_21733,MS_46825
S_78126003,MS_21733,MS_14304
S_78126003,MS_21733,MS_30432
S_78126003,MS_21733,MS_21733
S_78126003,MS_21733,MS_73346
S_78126003,MS_21733,MS_44845
S_78126003,MS_21733,MS_7976
S_78126003,MS_21733,MS_55436
S_78126003,MS_21733,MS_61034
S_78126003,MS_21733,MS_57945
S_78126003,MS_21733,MS_28728
S_78126003,MS_21733,MS_45285
S_78126003,MS_21733,MS_41162
S_78126003,MS_21733,MS_52306
S_78126003,MS_21733,MS_55085
S_78126003,MS_21733,MS_32139
S_78126003,MS_21733,MS_66332
S_78126003,MS_21733,MS_41376
S_78126003,MS_21733,MS_22845
S_78126003,MS_20759,MS_20059
S_78126003,MS_37497,MS_37497
S_78126003,MS_37497,MS_669
S_78126003,MS_37497,MS_55085
S_78126003,MS_37497,MS_11363
S_78126003,MS_37497,MS_2827
S_78126003,MS_37497,MS_4354
S_78126003,MS_37497,MS_46825
S_78126003,MS_37497,MS_46378
S_78126003,MS_37497,MS_35973
S_78126003,MS_37497,MS_14728
S_78126003,MS_37497,MS_21733
S_78126003,MS_37497,MS_68068
S_78126003,MS_37497,MS_14304
S_78126003,MS_37497,MS_29635
S_78126003,MS_37497,MS_70278
S_78126003,MS_37497,MS_34364
S_78126003,MS_37497,MS_46802
S_78126003,MS_37497,MS_1556
S_78126003,MS_37497,MS_1278
S_78126003,MS_37497,MS_24213
S_78126003,MS_37497,MS_8234
S_78126003,MS_37497,MS_55290
S_78126003,MS_37497,MS_26670
S_78126003,MS_37497,MS_27239
S_78126003,MS_37497,MS_50543
S_78126003,MS_37497,MS_43192
S_78126003,MS_37497,MS_67925
S_78126003,MS_37497,MS_69215
S_78126003,MS_37497,MS_5867
S_78126003,MS_37497,MS_48385
S_78126003,MS_37497,MS_42692
S_78126003,MS_37497,MS_20261
S_78126003,MS_37497,MS_2706
S_78126003,MS_58423,MS_55436
S_78126003,MS_58423,MS_66332
S_78126003,MS_58423,MS_48591
S_78126003,MS_58423,MS_27421
S_78126003,MS_58423,MS_30432
S_78126003,MS_58423,MS_58423
S_78126003,MS_58423,MS_29635
S_78126003,MS_58423,MS_51603
S_78126003,MS_58423,MS_35214
S_78126003,MS_58423,MS_22845
S_78126003,MS_58423,MS_46825
S_78126003,MS_58423,MS_41162
S_78126003,MS_58423,MS_24213
S_78126003,MS_58423,MS_15171
S_78126003,MS_58423,MS_13002
S_78126003,MS_58423,MS_37691
S_78126003,MS_58423,MS_14304
S_78126003,MS_58423,MS_65639
S_78126003,MS_58423,MS_24509
S_78126003,MS_58423,MS_57945
S_78126003,MS_58423,MS_73346
S_78126003,MS_58423,MS_35385
S_78126003,MS_58423,MS_50543
S_78126003,MS_58423,MS_42255
S_78126003,MS_58423,MS_35973
S_78126003,MS_58423,MS_7976
S_78126003,MS_58423,MS_8234
S_78126003,MS_58423,MS_55085
S_78126003,MS_58423,MS_32139
S_78126003,MS_58423,MS_63642
S_78126003,MS_58423,MS_61034
S_78126003,MS_58423,MS_14728
S_78126003,MS_58423,MS_31413
S_78126003,MS_58423,MS_16099
S_78126003,MS_58423,MS_28728
S_78126003,MS_58423,MS_10613
S_78126003,MS_58423,MS_53251
S_78126003,MS_42879,MS_11363
S_78126003,MS_7932,MS_27421
S_78126003,MS_7932,MS_28617
S_78126003,MS_7932,MS_1278
S_78126003,MS_7932,MS_57793
S_78126003,MS_7932,MS_5867
S_78126003,MS_7932,MS_46825
S_78126003,MS_65620,MS_32205
S_78126003,MS_60472,MS_25648
S_78126003,MS_72259,MS_32485
S_78126003,MS_72259,MS_5795
S_78126003,MS_72259,MS_40113
S_78126003,MS_20174,MS_21883
S_78126003,MS_52404,MS_6045
S_78126003,MS_45285,MS_12071
S_78126003,MS_45285,MS_48767
S_78126003,MS_45285,MS_21883
S_78126003,MS_45285,MS_32205
S_78126003,MS_45285,MS_8234
S_78126003,MS_45285,MS_46429
S_78126003,MS_45285,MS_14304
S_78126003,MS_45285,MS_38957
S_78126003,MS_45285,MS_44136
S_78126003,MS_45285,MS_53850
S_78126003,MS_45285,MS_53701
S_78126003,MS_45285,MS_27421
S_78126003,MS_45285,MS_31361
S_78126003,MS_45285,MS_11896
S_78126003,MS_45285,MS_50572
S_78126003,MS_45285,MS_15934
S_78126003,MS_45285,MS_27239
S_78126003,MS_45285,MS_30371
S_78126003,MS_45285,MS_29635
S_78126003,MS_45285,MS_22314
S_78126003,MS_45285,MS_47325
S_78126003,MS_45285,MS_70854
S_78126003,MS_45285,MS_29799
S_78126003,MS_45285,MS_32485
S_78126003,MS_45285,MS_29680
S_78126003,MS_45285,MS_46825
S_78126003,MS_45285,MS_20191
S_78126003,MS_45285,MS_42034
S_78126003,MS_45285,MS_4830
S_78126003,MS_45285,MS_55970
S_78126003,MS_45285,MS_46708
S_78126003,MS_45285,MS_60938
S_78126003,MS_45285,MS_73179
S_78126003,MS_45285,MS_42255
S_78126003,MS_45285,MS_52663
S_78126003,MS_45285,MS_14800
S_78126003,MS_45285,MS_41162
S_78126003,MS_45285,MS_16099
S_78126003,MS_45285,MS_35973
S_78126003,MS_45285,MS_55835
