request_id,queueing
25501,7778
123458,1682
155211,786
200160,779
264142,686
272137,788
443078,1203
543088,900
669511,943
721534,720
740882,1124
876538,1270
877301,25179
891137,956
935648,1004
1109685,7464
1115000,2396
1139302,4733
1194413,1627
1222947,807
1263581,728
1432265,1530
1484100,20281
1485201,4699
1680278,713
1924793,16106
1927731,1647
1934525,695
1986336,1101
2101726,16717
2134971,8423
2142542,899
2247914,11512
2393399,948
2697255,1096
2704914,3090
2755771,1066
2930014,671
2953232,1013
2962874,497
3089976,931
3189377,2440
3219650,716
3304707,9526
3365132,690
3494312,614
3629634,1831
3778750,9197
3784163,10510
4015245,7636
4026950,856
4286902,13674
4428497,5638
4493362,5979
4789608,1062
4793691,5892
4864425,769
4873363,695
4915119,623
4924188,15094
4940289,828
4995046,681
5008715,2787
5013617,2151
5018893,980
5022785,609
5217643,937
5255178,4050
5311616,657
5354948,13673
5359617,909
5527674,728
5621825,2870
5667375,3233
5765360,742
5864299,931
5889945,7650
5928807,637
5945021,1593
5980072,7096
6031162,851
6241758,17992
6341135,753
6573903,4763
6595938,7042
6927704,9517
6975630,641
7023095,13848
7100439,982
7119029,3800
7156459,730
7200462,3243
7268138,3606
7300279,1794
7475970,4463
7498440,998
7515640,1069
7817638,8981
7943934,737
8090496,724
8129250,2320
8192400,3982
8196728,4990
8212634,7829
8402050,714
8471124,12216
8473615,1837
8556115,945
8604380,9525
8675256,2688
8677530,9188
8698681,1874
8707575,637
8858931,771
8982584,786
8994188,11931
9171547,19665
9296928,3406
9317273,14416
9400389,750
9495420,793
9565371,687
9578513,953
9592863,706
9655517,792
9777409,13490
9792301,16648
9816444,688
9873324,4255
9940974,6937
9947162,863
10056063,4404
10067485,6671
10140942,723
10409763,700
10656206,3197
10693076,13257
10769226,22929
10798830,6327
10948266,4496
11120284,1041
11291418,12252
11423360,702
11575551,706
11823212,1096
11823750,2673
11857550,1213
11888588,2698
11889367,703
11952078,19393
12191366,7310
12259175,9654
12259831,6287
12297646,874
12301790,1253
12429317,1457
12533642,7289
12775994,755
12821897,10402
12936615,13770
13341922,1265
13506248,17385
13520510,2285
13646016,947
13699160,5325
13795489,4951
13809459,16748
13822404,16551
13918111,632
14006672,1069
14146440,1407
14224134,10117
14278152,16881
14507115,3136
14661721,6251
14707927,5184
14715435,4706
14741178,3527
14766399,11167
15034135,812
15093174,6962
15341594,4032
15527775,828
15622971,2263
15637155,679
15707385,1134
15779980,9775
15822007,16693
16014137,4075
16128525,8631
16185647,7546
16214346,16645
16278896,7328
16307267,13498
16359136,790
16629793,7439
16904757,695
17002642,6353
17066356,1044
17111526,5083
17290888,992
17305962,3309
17341268,804
17362128,641
17443373,7722
17472411,7357
17519706,1190
17675043,861
17711881,2372
17744456,21731
17766321,747
17778677,677
18022666,6690
18088598,966
18107205,16547
18257395,692
18309214,832
18439204,832
18549661,10241
18579697,2899
18635358,1191
18758447,635
19144328,8680
19162601,5898
19168231,4197
19203271,6124
19229513,748
19340005,7458
19369519,3386
19450350,768
19506288,1030
19539662,12004
19568590,652
19585616,652
19632717,1194
19685412,914
19915482,11460
20258389,4598
20278311,1185
20495193,1245
20546673,9395
20779366,7558
20934285,11414
20950185,674
21124125,1231
21155425,5543
21179502,4543
21201902,5795
21211021,1291
21441399,994
21462624,3106
21536211,1260
21556946,731
21728359,2354
21838521,4263
21895126,786
22093424,2179
22106970,10371
22281707,942
22324258,4824
22365022,7649
22416431,4878
22466738,6083
22587313,5224
22636182,839
22755884,3102
22779861,680
22917329,16740
22927307,1481
23093738,993
23097345,3580
23098091,7094
23156641,9276
23204240,12145
23363771,4285
23477739,1380
23515871,966
23557242,874
23593546,5824
23649410,949
23684774,855
23697261,7179
23706735,2038
23824367,661
23894473,2423
23966508,780
24156110,884
24252158,1849
24274975,15939
24289927,1066
24328883,1376
24368087,16331
24497549,1572
24522764,9831
24590933,1075
24593883,3667
24731449,16753
24740498,7696
24821090,538
25222116,962
25231257,16815
25264214,669
25377863,735
25423675,1502
25495350,2445
25515909,828
25762208,2196
25824242,10671
26108014,17464
26122046,7099
26129472,6522
26195385,918
26218276,7613
26358198,764
26506243,732
26519250,3124
26634252,7273
26638227,1283
26639024,743
26729387,731
26729776,16859
26732354,19265
26763732,980
26771771,9373
26827600,3060
26946339,873
27096775,3294
27113808,906
27301676,9565
27338793,6019
27361756,757
27366581,7643
27453550,830
27496763,886
27776440,13426
27807346,4640
28000859,778
28030539,3051
28058239,7794
28074598,682
28119521,931
28191127,1058
28260695,3403
28342763,4580
28365249,744
28403657,709
28444728,1135
28467216,8104
28506462,860
28739236,1686
28833278,5645
28927858,2085
28959884,783
28999676,767
29009351,3813
29018834,992
29129227,6085
29145796,17061
29250177,11178
29329663,16840
29384065,1152
29504255,793
29514994,17035
29612631,16814
29614396,902
29719386,769
29812431,4253
29928844,7553
30006534,8979
30408610,13874
30512994,11973
30546143,758
30566389,4131
30728521,3906
30809330,9000
30849095,7088
30894643,593
30975085,7866
31018691,882
31094832,962
31189704,913
31226736,1178
31312179,723
31433315,1106
31484459,4759
31492838,707
31575372,687
31710770,677
31769991,16698
31945809,702
31951793,829
31982835,798
32045870,7289
32200184,17141
32275000,11489
32288920,564
32306723,618
32423370,5262
32429746,711
32562031,768
32864968,565
32988508,4737
33055071,4761
33326800,1087
33379314,6611
33472834,2072
33506328,3551
33601147,738
33617488,7679
33699984,751
33820854,2114
33882302,2294
34019650,13260
34080198,9120
34249881,10581
34496846,7259
34567312,6288
34574684,1010
34648767,958
34742870,9687
34749476,652
35082918,645
35094929,9541
35107233,3516
35116133,2118
35182198,3515
35214808,4402
35461589,7490
35462392,757
35579031,15686
35845673,3125
35917381,2184
35927648,817
35957509,9722
36047840,852
36081458,845
36184534,834
36445341,13430
36450928,715
36742870,6451
36744073,4264
36914300,766
37097080,3948
37122935,12591
37177362,1025
37220178,4883
37244238,805
37285862,838
37325431,2524
37375547,4837
37388445,7998
37434285,1043
37444030,563
37444401,8266
37732731,860
37739426,1557
37968446,3498
38101875,6963
38231337,5560
38482623,3157
38501638,7122
38545575,10909
38704489,735
38748152,716
38795264,10791
38802848,19405
38824946,747
38848531,590
38965918,12853
39073604,1104
39256702,5862
39319984,908
39349897,757
39449921,757
39585200,776
39659337,7991
39693101,1937
39705671,721
39805796,702
39876690,743
39963001,641
40001273,754
40258064,681
40316421,3689
40325415,4285
40542483,828
40612091,2239
40711660,921
40718010,1575
40949677,13700
40984507,1748
41019813,710
41131758,1157
41302386,749
41362006,20998
41423785,10408
41582308,894
41640391,10055
41703877,3138
41772602,757
41813387,8549
41934808,17108
41975582,762
42016624,732
42146485,798
42169155,6746
42199176,744
42222934,994
42225737,24812
42334712,720
42337817,17411
42351064,756
42399236,14416
42415197,8338
42436595,22793
42547244,3226
42724791,710
42838615,4808
43038943,591
43075364,1232
43174623,770
43179620,13176
43200403,3041
43279584,15649
43314411,2884
43470022,1186
43592867,817
43711874,479
43725939,850
43784109,751
43845896,3998
43953789,824
44063798,5739
44154457,7374
44286371,497
44474530,5247
44602268,16796
44607655,878
44676280,9076
44955002,761
45018685,688
45035170,879
45097070,810
45214203,4380
45313367,682
45320329,23990
45330790,1092
