request_id,queueing
22913,5297
26193,734
26237,9188
47936,5640
118027,1237
182528,996
189576,815
428106,569
435129,578
451004,1238
456134,8412
497489,491
501975,4529
516026,768
575022,7003
786506,4240
794230,4362
796450,3622
809799,1285
847976,586
890660,3340
920628,487
1060235,748
1099827,686
1126462,4220
1158642,1385
1221833,963
1239706,2990
1252718,3862
1261381,7083
1268126,1083
1313281,3759
1393602,1616
1404384,3769
1414772,4765
1432572,678
1434156,761
1477283,1052
1569593,2451
1593851,674
1616299,562
1760829,659
1763995,16636
1822728,758
1864024,594
1934832,740
1936668,3842
1963953,5262
2060763,4494
2099195,2732
2174326,4499
2179975,1155
2192172,768
2225751,4663
2239367,610
2246306,6150
2420465,925
2438522,1254
2440027,1091
2448787,755
2612671,2781
2677940,8279
2698511,7595
2732339,8303
2750285,2413
2759640,1868
2815986,622
2828148,25007
2839498,8978
2903021,3857
2926026,699
2935260,1061
3039031,606
3054711,948
3079265,704
3096393,6928
3251067,2264
3296634,3897
3326787,5657
3340570,6498
3370560,3398
3436928,695
3512476,1633
3538909,4402
3659456,5605
3687536,1059
3692599,20493
3716936,693
3727703,1421
3777132,1372
3809158,4413
3876762,587
3994592,4538
4067550,4664
4072892,7573
4142195,4879
4155949,4904
4157415,536
4263572,705
4317906,655
4391303,812
4399696,724
4414908,4088
4429485,3338
4433189,17458
4448015,3082
4496660,8075
4500700,10579
4606327,741
4641303,856
4723054,611
4752658,3195
4757719,1355
4776633,771
4790019,888
4825946,827
4829610,921
4848771,2095
4911021,2951
4982242,5043
5004678,7067
5085617,1977
5131487,611
5149317,1155
5188475,650
5195605,7294
5204582,1058
5206234,914
5219340,1624
5237534,4280
5265451,9837
5285994,5131
5288933,8662
5315256,749
5379656,1337
5398812,4096
5480813,2125
5509728,1344
5510875,8081
5513658,648
5583817,1021
5597718,4253
5630299,8759
5677712,3985
5714693,1789
5720227,3015
5733005,1932
5739926,3956
5742492,4998
5743052,660
5786781,6596
5881766,737
5989415,13063
6121406,1976
6137829,4862
6161745,1243
6204502,641
6249958,824
6287689,670
6349153,1157
6365214,6939
6374640,737
6455247,977
6511002,2047
6527830,894
6534749,1743
6551422,545
6616256,1052
6758196,921
6785677,10012
6840040,756
6878944,9140
6900956,855
6907239,576
6912288,6366
6977021,677
7086484,3244
7103481,6421
7152447,4700
7167864,3475
7168527,604
7175185,1069
7235295,1659
7271943,558
7325906,642
7408885,1328
7422565,747
7440899,16430
7442729,1254
7455535,554
7464450,2787
7514526,3855
7628750,1689
7716315,4901
7745398,638
7770089,1391
7789011,1207
7842957,1570
7859421,644
7875546,6522
7879586,6548
7893526,3310
7908947,2067
7944894,638
8002541,1927
8008679,2379
8029046,7026
8142856,1200
8156313,1157
8172022,4419
8193960,30774
8229889,3207
8240588,740
8330431,8065
8416894,585
8443225,846
8472546,801
8476697,600
8497715,2384
8548365,726
8667467,1128
8702078,4559
8735323,853
8736014,653
8753548,621
8776439,1203
8779285,8452
8833894,798
8852448,9972
8963684,2604
8994432,6943
9071365,622
9168317,3970
9173771,674
9278813,5893
9298250,582
9306118,3053
9311114,8778
9345436,21744
9376661,547
9472447,16632
9522368,6199
9535092,9140
9620764,7098
9664158,3715
9740699,4377
9857805,964
9889707,1793
9894719,623
9955293,1616
9961643,658
9998007,4166
10024404,729
10024469,797
10063516,1793
10092870,712
10348393,1177
10361129,620
10368737,9038
10392368,1872
10480932,807
10483728,1025
