service,caller,callee,weight
S_5991695,MS_15131,MS_19585,264
S_5991695,MS_19279,MS_19585,1365
S_5991695,MS_19279,MS_22012,1365
S_5991695,MS_19585,MS_19585,29
S_5991695,MS_21545,MS_19585,49
S_5991695,MS_21545,MS_22012,23
S_5991695,MS_21545,MS_8237,26
S_5991695,MS_22012,MS_22012,24
S_5991695,MS_22973,MS_41162,1
S_5991695,MS_25771,MS_19585,8
S_5991695,MS_25771,MS_22012,8
S_5991695,MS_43781,MS_19585,2385
S_5991695,MS_43781,MS_21545,1
S_5991695,MS_43781,MS_22012,2386
S_5991695,MS_52901,MS_19585,2
S_5991695,MS_52901,MS_22012,1
S_5991695,MS_52901,MS_8237,1
S_5991695,MS_5867,MS_27421,1
S_5991695,MS_5867,MS_46825,3
S_5991695,MS_5867,MS_56128,1
S_5991695,MS_61076,MS_19585,8
S_5991695,MS_61076,MS_27421,1
S_5991695,MS_61076,MS_43781,1
S_5991695,MS_61076,MS_61635,1
S_5991695,MS_72610,MS_37536,23
S_5991695,MS_72610,MS_42150,23
S_5991695,MS_7798,MS_19585,5
S_5991695,MS_7798,MS_22012,5
S_5991695,USER,MS_15131,762
S_5991695,USER,MS_1881,4
S_5991695,USER,MS_19279,706
S_5991695,USER,MS_19585,7
S_5991695,USER,MS_19925,32
S_5991695,USER,MS_21545,25
S_5991695,USER,MS_22012,601
S_5991695,USER,MS_22973,1
S_5991695,USER,MS_25771,4
S_5991695,USER,MS_26001,50
S_5991695,USER,MS_27421,7
S_5991695,USER,MS_38156,2
S_5991695,USER,MS_43781,1625
S_5991695,USER,MS_46825,65
S_5991695,USER,MS_49555,6
S_5991695,USER,MS_52901,1
S_5991695,USER,MS_56114,8
S_5991695,USER,MS_5867,1
S_5991695,USER,MS_61076,8
S_5991695,USER,MS_63019,1
S_5991695,USER,MS_72610,13
S_5991695,USER,MS_7798,3
S_5991695,USER,MS_9308,46
