rps,masa,fifo,relative
300,6176,6266,101
325,6346,6466,101
350,6482,6646,102
375,6636,6822,102
400,6797,7014,103
425,7030,7275,103
450,7203,7468,103
475,7446,7771,104
500,7613,7981,104
525,7916,8392,106
550,8228,8850,107
575,8483,9113,107
600,8951,9745,108
625,9403,10337,109
650,9748,10834,111
675,10342,11598,112
700,11072,12628,114
725,12043,13937,115
750,13168,15548,118
775,14518,17380,119
800,16495,19977,121
825,20316,24862,122
850,24615,30196,122
875,41064,48770,118
900,68970,82412,119
