service,caller,callee,weight
S_32048416,MS_20664,MS_27421,1
S_32048416,MS_20664,MS_28277,1
S_32048416,MS_20664,MS_37691,214
S_32048416,MS_20664,MS_62291,158
S_32048416,MS_20664,MS_66431,4979
S_32048416,MS_20664,MS_66701,9043
S_32048416,MS_20664,MS_68795,1563
S_32048416,MS_20664,MS_69155,135
S_32048416,MS_20664,MS_7103,2050
S_32048416,MS_66431,MS_37691,7646
S_32048416,MS_69155,MS_7951,132
S_32048416,MS_7103,MS_37691,3169
S_32048416,MS_9570,MS_1303,4256
S_32048416,MS_9570,MS_20664,10875
S_32048416,USER,MS_37691,1
S_32048416,USER,MS_42518,412
S_32048416,USER,MS_9570,10878
