service,caller,callee,weight
S_36816397,MS_12118,MS_11639,2
S_36816397,MS_12847,MS_39556,7
S_36816397,MS_12847,MS_7024,1
S_36816397,MS_15763,MS_25648,450
S_36816397,MS_15763,MS_7024,4
S_36816397,MS_21562,MS_4354,1
S_36816397,MS_43524,MS_12118,3
S_36816397,MS_43524,MS_12253,14
S_36816397,MS_43524,MS_32574,198
S_36816397,MS_43524,MS_51564,1
S_36816397,MS_43881,MS_25648,21
S_36816397,MS_49817,MS_25648,20
S_36816397,MS_5449,MS_25648,8505
S_36816397,MS_5449,MS_39556,13446
S_36816397,MS_5449,MS_43881,7
S_36816397,MS_5449,MS_49817,14
S_36816397,MS_5449,MS_7024,754
S_36816397,MS_70930,MS_25648,149
S_36816397,MS_70930,MS_39556,167
S_36816397,MS_70930,MS_7024,1733
S_36816397,USER,MS_12847,1
S_36816397,USER,MS_15763,4
S_36816397,USER,MS_21562,1
S_36816397,USER,MS_25648,590
S_36816397,USER,MS_39556,353
S_36816397,USER,MS_43524,198
S_36816397,USER,MS_49817,1
S_36816397,USER,MS_5449,689
S_36816397,USER,MS_70930,1723
