service,caller,callee,weight
S_133213375,USER,MS_9537,431.0
S_133213375,USER,MS_3657,158.0
S_133213375,USER,MS_36535,552.0
S_133213375,MS_9537,MS_15850,274.0
S_133213375,MS_9537,MS_24094,28.0
S_133213375,MS_9537,MS_2371,27.0
S_133213375,MS_9537,MS_43220,29.0
S_133213375,MS_9537,MS_58962,7.0
S_133213375,MS_9537,MS_72107,12.0
S_133213375,MS_9537,MS_22082,7.0
S_133213375,MS_9537,MS_44366,13.0
S_133213375,MS_9537,MS_44261,11.0
S_133213375,MS_9537,MS_42567,19.0
S_133213375,MS_9537,MS_67618,1.0
S_133213375,MS_9537,MS_352,3.0
S_133213375,MS_3657,MS_15850,101.0
S_133213375,MS_3657,MS_43220,14.0
S_133213375,MS_3657,MS_352,7.0
S_133213375,MS_3657,MS_42567,9.0
S_133213375,MS_3657,MS_22082,5.0
S_133213375,MS_3657,MS_24094,10.0
S_133213375,MS_3657,MS_58962,2.0
S_133213375,MS_3657,MS_44366,2.0
S_133213375,MS_3657,MS_2371,4.0
S_133213375,MS_3657,MS_44261,4.0
S_133213375,MS_36535,MS_15850,426.0
S_133213375,MS_36535,MS_2371,3.0
S_133213375,MS_36535,MS_24094,51.0
S_133213375,MS_36535,MS_22082,3.0
S_133213375,MS_36535,MS_35599,17.0
S_133213375,MS_36535,MS_67618,12.0
S_133213375,MS_36535,MS_43220,6.0
S_133213375,MS_36535,MS_42567,13.0
S_133213375,MS_36535,MS_44366,4.0
S_133213375,MS_36535,MS_58962,4.0
S_133213375,MS_36535,MS_44261,3.0
