rps,masa,fifo,relative
300,2443,2460,100
325,2512,2522,100
350,2534,2580,101
375,2590,2620,101
400,2630,2676,101
425,2685,2725,101
450,2747,2784,101
475,2809,2857,101
500,2858,2899,101
525,2945,2995,101
550,3038,3098,101
575,3111,3160,101
600,3245,3331,102
625,3372,3452,102
650,3508,3595,102
675,3700,3810,102
700,3927,4061,103
725,4274,4422,103
750,4562,4766,104
775,5006,5262,105
800,5648,5997,106
825,6795,7328,107
850,8046,8832,109
875,11787,13284,112
900,19253,21228,110
