rps,masa,fifo,relative
300,3847,3883,100
325,4002,4027,100
350,4051,4131,101
375,4154,4223,101
400,4233,4316,101
425,4362,4449,101
450,4462,4545,101
475,4608,4719,102
500,4714,4820,102
525,4896,5048,103
550,5098,5277,103
575,5255,5435,103
600,5543,5792,104
625,5807,6094,104
650,6075,6410,105
675,6444,6833,106
700,6883,7388,107
725,7523,8147,108
750,8092,8942,110
775,8929,9973,111
800,10064,11440,113
825,12225,14247,116
850,14551,17210,118
875,22579,26433,117
900,39841,45002,112
