rps,masa,fifo,relative
300,1271,1278,100
325,1285,1292,100
350,1238,1275,102
375,1263,1282,101
400,1229,1258,102
425,1230,1253,101
450,1232,1234,100
475,1223,1230,100
500,1197,1207,100
525,1197,1211,101
550,1168,1184,101
575,1168,1167,99
600,1170,1196,102
625,1161,1171,100
650,1158,1181,101
675,1160,1185,102
700,1172,1201,102
725,1196,1211,101
750,1204,1242,103
775,1242,1281,103
800,1298,1327,102
825,1370,1403,102
850,1476,1503,101
875,1815,1825,100
900,2396,2342,97
