# Time breakdown of user

     processing_lat queueing_lat  total_lat
mean     92 (24.5%)  276 (73.4%)        376
std      18 (33.3%)   52 (96.3%)         54
p50      92 (24.9%)  266 (71.9%)        370
p90     113 (25.8%)  336 (76.7%)        438
p95     120 (25.8%)  374 (80.4%)        465
p99     138 (25.7%)  441 (82.1%)        537
