service,caller,callee,weight
S_100293104,MS_27421,MS_19585,14.0
S_100293104,MS_27421,MS_33709,4.0
S_100293104,USER,MS_24120,13.0
S_100293104,USER,MS_1745,7.0
S_100293104,USER,MS_59937,62.0
S_100293104,USER,MS_45682,6.0
S_100293104,USER,MS_69813,33.0
S_100293104,USER,MS_12928,21.0
S_100293104,USER,MS_18043,5.0
S_100293104,USER,MS_59099,8.0
S_100293104,USER,MS_41983,2.0
S_100293104,USER,MS_21872,4.0
S_100293104,USER,MS_11070,4.0
S_100293104,USER,MS_38298,5.0
S_100293104,USER,MS_40518,5.0
S_100293104,USER,MS_64329,6.0
S_100293104,USER,MS_13873,8.0
S_100293104,USER,MS_54407,10.0
S_100293104,USER,MS_39521,4.0
S_100293104,USER,MS_41019,9.0
S_100293104,USER,MS_54353,2.0
S_100293104,USER,MS_17703,7.0
S_100293104,USER,MS_30759,1.0
S_100293104,USER,MS_67165,1.0
S_100293104,USER,MS_20618,1.0
S_100293104,USER,MS_6307,3.0
S_100293104,USER,MS_18642,2.0
S_100293104,USER,MS_6034,2.0
S_100293104,USER,MS_38469,1.0
S_100293104,USER,MS_68937,3.0
S_100293104,USER,MS_29535,2.0
S_100293104,USER,MS_36950,1.0
S_100293104,USER,MS_10673,1.0
S_100293104,USER,MS_37183,2.0
S_100293104,USER,MS_10484,1.0
S_100293104,USER,MS_17790,1.0
S_100293104,USER,MS_44252,2.0
S_100293104,USER,MS_36953,1.0
S_100293104,MS_24120,MS_27421,13.0
S_100293104,MS_24120,MS_34874,13.0
S_100293104,MS_1745,MS_27421,7.0
S_100293104,MS_1745,MS_69807,7.0
S_100293104,MS_59937,MS_27421,62.0
S_100293104,MS_59937,MS_11581,62.0
S_100293104,MS_45682,MS_27421,12.0
S_100293104,MS_45682,MS_25707,12.0
S_100293104,MS_69813,MS_27421,294.0
S_100293104,MS_69813,MS_10154,294.0
S_100293104,MS_69813,MS_37372,149.0
S_100293104,MS_37372,MS_27421,113.0
S_100293104,MS_37372,MS_10154,113.0
