# Time breakdown, svc=frontend, type=all

     compute_lat          io_lat  total_lat
mean  130 (0.4%)   33558 (99.6%)      33704
std    88 (0.5%)  18737 (100.1%)      18724
p50    91 (0.3%)   35229 (99.5%)      35422
p90   246 (0.4%)   56018 (99.9%)      56090
p95   270 (0.5%)   58955 (99.9%)      59029
p99   320 (0.5%)   63739 (99.9%)      63804

# Time breakdown, svc=frontend, type=non_err_svc_er

     compute_lat         io_lat  total_lat
mean  161 (0.6%)  24943 (99.3%)      25117
std    85 (0.6%)  15045 (99.8%)      15081
p50   186 (0.7%)  26307 (99.3%)      26494
p90   258 (0.6%)  44596 (99.6%)      44795
p95   281 (0.6%)  47053 (99.5%)      47266
p99   328 (0.7%)  49200 (99.6%)      49385

# Time breakdown, svc=frontend, type=err_svc_er

     compute_lat         io_lat  total_lat
mean   52 (0.1%)  55015 (99.9%)      55090
std    25 (0.6%)  4052 (100.1%)       4049
p50    47 (0.1%)  54249 (99.9%)      54315
p90    80 (0.1%)  60824 (99.9%)      60893
p95    97 (0.2%)  62810 (99.9%)      62891
p99   146 (0.2%)  66325 (99.9%)      66402

