# Service breakdown relative to frontend (p95)

            processing_lat    queueing_lat       total_lat
service                                                   
frontend               278  61802 (100.0%)  61879 (100.0%)
search                 281     2320 (3.8%)     2529 (4.1%)
profile                236      398 (0.6%)      600 (1.0%)
reservation           2591   54818 (88.7%)   54944 (88.8%)
geo                      6        0 (0.0%)       14 (0.0%)
rate                   791        0 (0.0%)      802 (1.3%)
user                   120      374 (0.6%)      465 (0.8%)
