# Service breakdown relative to frontend (p50)

            processing_lat    queueing_lat       total_lat
service                                                   
frontend                80  47195 (100.0%)  47429 (100.0%)
search                 189     1363 (2.9%)     1584 (3.3%)
profile                176      112 (0.2%)      317 (0.7%)
reservation            516   36815 (78.0%)   37826 (79.8%)
geo                      4        0 (0.0%)        9 (0.0%)
rate                   570        0 (0.0%)      579 (1.2%)
user                    92      266 (0.6%)      370 (0.8%)
