# Time breakdown of rate

     processing_lat queueing_lat  total_lat
mean    597 (98.4%)     0 (0.0%)        607
std      97 (94.2%)   34 (33.0%)        103
p50     570 (98.4%)     0 (0.0%)        579
p90     724 (98.5%)     0 (0.0%)        735
p95     791 (98.6%)     0 (0.0%)        802
p99     908 (98.2%)     0 (0.0%)        925
