service,caller,callee,weight
S_130831269,MS_1117,MS_1117,2
S_130831269,MS_12005,MS_12005,2
S_130831269,MS_1404,MS_1404,2
S_130831269,MS_15819,MS_15819,30
S_130831269,MS_19017,MS_19017,7051
S_130831269,MS_19630,MS_19630,479
S_130831269,MS_19630,MS_20725,4
S_130831269,MS_23571,MS_23571,5
S_130831269,MS_29370,MS_29370,149
S_130831269,MS_34145,MS_34145,1
S_130831269,MS_3891,MS_3891,7
S_130831269,MS_42200,MS_42200,7555
S_130831269,MS_43806,MS_2310,11
S_130831269,MS_43806,MS_43806,505
S_130831269,MS_5122,MS_5122,4
S_130831269,MS_5182,MS_5182,269
S_130831269,MS_52678,MS_52678,100
S_130831269,MS_53788,MS_53788,83
S_130831269,MS_56298,MS_56298,22
S_130831269,MS_5766,MS_5766,1
S_130831269,MS_59,MS_59,164
S_130831269,MS_61055,MS_61055,1053
S_130831269,MS_68166,MS_68166,370
S_130831269,MS_68220,MS_68220,3
S_130831269,MS_73347,MS_73347,14
S_130831269,MS_7818,MS_7818,17
S_130831269,MS_8549,MS_8549,5
S_130831269,USER,MS_1117,2
S_130831269,USER,MS_12005,2
S_130831269,USER,MS_1404,2
S_130831269,USER,MS_15819,30
S_130831269,USER,MS_19017,7051
S_130831269,USER,MS_19630,479
S_130831269,USER,MS_23571,5
S_130831269,USER,MS_29370,149
S_130831269,USER,MS_34145,1
S_130831269,USER,MS_3891,7
S_130831269,USER,MS_42200,7555
S_130831269,USER,MS_43806,505
S_130831269,USER,MS_5122,4
S_130831269,USER,MS_5182,269
S_130831269,USER,MS_52678,100
S_130831269,USER,MS_53788,83
S_130831269,USER,MS_56298,22
S_130831269,USER,MS_5766,1
S_130831269,USER,MS_59,164
S_130831269,USER,MS_61055,1053
S_130831269,USER,MS_68166,370
S_130831269,USER,MS_68220,3
S_130831269,USER,MS_73347,14
S_130831269,USER,MS_7818,17
S_130831269,USER,MS_8549,5
